 : 1190327 occurence
V262_V431 : 1 occurence
C523_D163 : 1 occurence
F623_P655_S346 : 1 occurence
I522_C200 : 1 occurence
C600_F600 : 1 occurence
C250_P300_P000 : 1 occurence
R336 : 2 occurence
A536_C515 : 2 occurence
T625_V163 : 1 occurence
U531_L530 : 1 occurence
K325_W600 : 1 occurence
T530_S230 : 1 occurence
F400_S410 : 1 occurence
T521_B620 : 1 occurence
S222 : 2 occurence
F616_B200 : 1 occurence
J231_H523 : 1 occurence
W230_B650_D153 : 1 occurence
F552_M623_V434 : 1 occurence
P400_V450 : 1 occurence
C560_R000 : 1 occurence
F430_E423 : 1 occurence
L235_C424 : 1 occurence
A600_L233_A411 : 1 occurence
M220_L600 : 1 occurence
R422_B200 : 1 occurence
L200_O100_L510 : 1 occurence
G422_O160 : 1 occurence
R500_C600 : 1 occurence
F621_F360 : 1 occurence
M220_A415 : 1 occurence
P300_C432_B200 : 1 occurence
B320_F500 : 1 occurence
L263 : 19 occurence
S160_E255_G630 : 1 occurence
A161_D253_R300 : 1 occurence
R324_C520 : 2 occurence
H162 : 32 occurence
A300_C553_T620 : 1 occurence
L255_P453 : 1 occurence
M643_T400 : 1 occurence
S410_G236 : 1 occurence
S162_S360 : 1 occurence
H240_A653 : 1 occurence
J324_D400 : 1 occurence
H215_W100 : 1 occurence
R200_H200_P420 : 1 occurence
L520_I635 : 1 occurence
S520_I500_R500 : 1 occurence
L300_N300 : 1 occurence
G412_M650 : 1 occurence
U200_A350 : 1 occurence
C523_C522 : 1 occurence
A610_C524 : 1 occurence
D631_S353 : 1 occurence
P140_C455_J122 : 1 occurence
G363_T236 : 1 occurence
M200_P615 : 1 occurence
G653_R400_A253 : 1 occurence
R261_T140 : 1 occurence
T610_P456 : 1 occurence
P336_B146_D263 : 1 occurence
H545_D152 : 1 occurence
S000_S430_V160 : 1 occurence
S134_R243 : 1 occurence
D553_R100 : 1 occurence
